time,participant,order,category,comment_timestamp,participant_name,id,utterance
0:05:11,participant01,1,1,311000000,participant_test_01,148,うん
0:05:14,participant01,1,0,314000000,participant_test_01,149,うーん？
0:05:15,participant01,1,0,315000000,participant_test_01,150,くるくるくるー
0:05:16,participant01,1,0,316000000,participant_test_01,151,いっぱい運べるね
0:05:16,participant01,1,0,316000000,participant_test_01,152,あっいけるいける
0:05:18,participant01,1,0,318000000,participant_test_01,153,頑張って頑張って
0:05:21,participant01,1,0,321000000,participant_test_01,154,アンパンマン
0:05:22,participant01,1,0,322000000,participant_test_01,155,また見つかったね
0:05:26,participant01,1,0,326000000,participant_test_01,156,あら？
0:05:26,participant01,1,0,326000000,participant_test_01,157,これこっちからかな
0:05:28,participant01,1,0,328000000,participant_test_01,158,いくよ
0:05:28,participant01,1,0,328000000,participant_test_01,159,じゃっくん見て
0:05:30,participant01,1,0,330000000,participant_test_01,160,コロコロコロコロコロコロコロコロコロ
0:05:32,participant01,1,0,332000000,participant_test_01,161,どうぞー
0:05:33,participant01,1,0,333000000,participant_test_01,162,こうやって遊ぶんだって
0:05:35,participant01,1,0,335000000,participant_test_01,163,はい、頑張ってみて
0:05:37,participant01,1,0,337000000,participant_test_01,164,どうやったら
0:05:40,participant01,1,0,340000000,participant_test_01,165,電車が車が走るかなあ
0:05:46,participant01,1,0,346000000,participant_test_01,166,うん
0:05:48,participant01,1,0,348000000,participant_test_01,167,わっ進んだ進んだよー
0:05:50,participant01,1,0,350000000,participant_test_01,168,わーすごい
0:05:53,participant01,1,0,353000000,participant_test_01,169,すごいね
0:05:56,participant01,1,0,356000000,participant_test_01,170,じゃっくん頑張れ
0:05:57,participant01,1,0,357000000,participant_test_01,171,じゃっくんもがんばれ
0:05:59,participant01,1,0,359000000,participant_test_01,172,コローンコトーンコトン
0:06:02,participant01,1,0,362000000,participant_test_01,173,渋滞だねここ
0:06:04,participant01,1,0,364000000,participant_test_01,174,渋滞してるよ
0:06:07,participant01,1,0,367000000,participant_test_01,175,じゃあマミーが助けてあげようこれ
0:06:09,participant01,1,0,369000000,participant_test_01,176,あっ取れたの
0:06:12,participant01,1,0,372000000,participant_test_01,177,きりんさん
0:06:14,participant01,1,0,374000000,participant_test_01,178,きりんさんこんにちはって
0:06:19,participant01,1,0,379000000,participant_test_01,179,うん
0:06:20,participant01,1,0,380000000,participant_test_01,180,あらららら
0:06:21,participant01,1,0,381000000,participant_test_01,181,何か何か連れてきたよ、じゃっくん一緒に
0:06:28,participant01,1,0,388000000,participant_test_01,182,車？
0:06:29,participant01,1,0,389000000,participant_test_01,183,うん
0:06:30,participant01,1,0,390000000,participant_test_01,184,きりんさんもこんにちはー
0:06:33,participant01,1,0,393000000,participant_test_01,185,はじめまして
0:06:39,participant01,1,0,399000000,participant_test_01,186,コロコロコロ
0:06:40,participant01,1,0,400000000,participant_test_01,187,はじめましてって言ってるよ、じゃっくん
0:06:42,participant01,1,0,402000000,participant_test_01,188,こんにちはでしょ
0:06:44,participant01,1,0,404000000,participant_test_01,189,こんにちは
0:06:46,participant01,1,0,406000000,participant_test_01,190,今日一緒に遊ぼうねって
0:06:49,participant01,1,0,409000000,participant_test_01,191,おお車さんあげるの
0:06:52,participant01,1,0,412000000,participant_test_01,192,ここだよ？
0:06:53,participant01,1,0,413000000,participant_test_01,193,本当はここに車走らせるところがあるんだよ？
0:06:58,participant01,1,0,418000000,participant_test_01,194,あれ？
0:06:59,participant01,1,0,419000000,participant_test_01,195,きのこくん
0:07:00,participant01,1,0,420000000,participant_test_01,196,きのこくんも一緒に来たのかな
0:07:05,participant01,1,0,425000000,participant_test_01,197,じゃっくんきのこくん引っ張ってみて
0:07:09,participant01,1,0,429000000,participant_test_01,198,きのこ君
0:07:11,participant01,1,0,431000000,participant_test_01,199,私も一緒に遊びたいなーって
0:07:15,participant01,1,0,435000000,participant_test_01,200,あれ？
0:07:17,participant01,1,0,437000000,participant_test_01,201,私も一緒に遊びたいよって
0:07:19,participant01,1,0,439000000,participant_test_01,202,これ見て
0:07:20,participant01,1,0,440000000,participant_test_01,203,今度はまた違う友達がじゃっくんと一緒に遊びたいなって
0:07:26,participant01,1,0,446000000,participant_test_01,204,ほら
0:07:27,participant01,1,1,447000000,participant_test_01,205,いいの？
0:07:30,participant01,1,0,450000000,participant_test_01,206,じゃここに置いといてあげよ
0:07:33,participant01,1,0,453000000,participant_test_01,207,じゃっくんと一緒に遊ぼうって
0:07:38,participant01,1,0,458000000,participant_test_01,208,ねえ
0:07:39,participant01,1,0,459000000,participant_test_01,209,はー？
0:07:40,participant01,1,0,460000000,participant_test_01,210,あげるのー？
0:07:43,participant01,1,0,463000000,participant_test_01,211,あげるんですか
0:07:47,participant01,1,0,467000000,participant_test_01,212,ん－？
0:07:48,participant01,1,0,468000000,participant_test_01,213,長いね
0:07:50,participant01,1,0,470000000,participant_test_01,214,長い長い車が
0:07:53,participant01,1,0,473000000,participant_test_01,215,車さんが３台繋がってるよ
0:07:56,participant01,1,0,476000000,participant_test_01,216,わー
0:07:58,participant01,1,0,478000000,participant_test_01,217,いいねー
0:08:02,participant01,1,0,482000000,participant_test_01,218,うん
0:08:03,participant01,1,0,483000000,participant_test_01,219,あれ？
0:08:04,participant01,1,0,484000000,participant_test_01,220,走らせる
0:08:06,participant01,1,0,486000000,participant_test_01,221,おいでおいでおいでーって
0:08:08,participant01,1,0,488000000,participant_test_01,222,じゃっくんのところに行くよ
0:08:11,participant01,1,0,491000000,participant_test_01,223,こんにちはって
0:08:14,participant01,1,0,494000000,participant_test_01,224,こんにちは
0:08:18,participant01,1,0,498000000,participant_test_01,225,あれ？
0:08:19,participant01,1,0,499000000,participant_test_01,226,黄色い車と
0:08:20,participant01,1,0,500000000,participant_test_01,227,青の車と
0:08:22,participant01,1,0,502000000,participant_test_01,228,緑と黄色と青
0:08:25,participant01,1,0,505000000,participant_test_01,229,じゃっくんは？
